,BBCA.JK,TLKM.JK,ASII.JK,^JKSE
BBCA.JK,1.0,-0.49027836287696114,-0.6650654958009791,-0.27826745043231177
TLKM.JK,-0.49027836287696114,1.0,0.8627715543520292,0.9007821115506011
ASII.JK,-0.6650654958009791,0.8627715543520292,1.0,0.8292867397010881
^JKSE,-0.27826745043231177,0.9007821115506011,0.8292867397010881,1.0
